,noun_chunk,product,freq,overall_freq,Rank
1620,cuisinart,B00004SPEU.raw.json,63,1220,110.0
7,cuisinart,B00004S9CY.raw.json,43,1220,110.0
33,french press,B00004S9CY.raw.json,12,1212,115.0
19816,french press,B00018RRRK.raw.json,402,1212,115.0
1577,french press,B00004SPEU.raw.json,137,1212,115.0
10426,french press,B00005OTXM.raw.json,146,1212,115.0
37417,french press,B000BRLXUI.raw.json,515,1212,115.0
19819,month,B00018RRRK.raw.json,383,1146,120.0
10424,month,B00005OTXM.raw.json,148,1146,120.0
62,month,B00004S9CY.raw.json,7,1146,120.0
37418,month,B000BRLXUI.raw.json,480,1146,120.0
1581,month,B00004SPEU.raw.json,128,1146,120.0
10425,money,B00005OTXM.raw.json,148,1141,125.0
21,money,B00004S9CY.raw.json,17,1141,125.0
1580,money,B00004SPEU.raw.json,129,1141,125.0
19820,money,B00018RRRK.raw.json,374,1141,125.0
37419,money,B000BRLXUI.raw.json,473,1141,125.0
10449,burr grinder,B00005OTXM.raw.json,91,1053,130.0
52,burr grinder,B00004S9CY.raw.json,8,1053,130.0
1603,burr grinder,B00004SPEU.raw.json,84,1053,130.0
19818,burr grinder,B00018RRRK.raw.json,401,1053,130.0
37420,burr grinder,B000BRLXUI.raw.json,469,1053,130.0
19821,lot,B00018RRRK.raw.json,362,1036,135.0
37421,lot,B000BRLXUI.raw.json,445,1036,135.0
49,lot,B00004S9CY.raw.json,9,1036,135.0
10437,lot,B00005OTXM.raw.json,113,1036,135.0
1590,lot,B00004SPEU.raw.json,107,1036,135.0
37427,second,B000BRLXUI.raw.json,368,1029,140.0
10421,second,B00005OTXM.raw.json,183,1029,140.0
45,second,B00004S9CY.raw.json,10,1029,140.0
1576,second,B00004SPEU.raw.json,169,1029,140.0
19826,second,B00018RRRK.raw.json,299,1029,140.0
38,review,B00004S9CY.raw.json,11,1017,145.0
19823,review,B00018RRRK.raw.json,323,1017,145.0
10427,review,B00005OTXM.raw.json,144,1017,145.0
37424,review,B000BRLXUI.raw.json,404,1017,145.0
1579,review,B00004SPEU.raw.json,135,1017,145.0
55,ground coffee,B00004S9CY.raw.json,8,1014,150.0
37422,ground coffee,B000BRLXUI.raw.json,414,1014,150.0
10432,ground coffee,B00005OTXM.raw.json,126,1014,150.0
19822,ground coffee,B00018RRRK.raw.json,351,1014,150.0
1587,ground coffee,B00004SPEU.raw.json,115,1014,150.0
10418,krup,B00005OTXM.raw.json,227,989,155.0
1572,krup,B00004SPEU.raw.json,221,989,155.0
19831,krup,B00018RRRK.raw.json,247,989,155.0
25,krup,B00004S9CY.raw.json,14,989,155.0
37436,krup,B000BRLXUI.raw.json,280,989,155.0
1584,button,B00004SPEU.raw.json,119,918,160.0
30,button,B00004S9CY.raw.json,13,918,160.0
10431,button,B00005OTXM.raw.json,128,918,160.0
19830,button,B00018RRRK.raw.json,249,918,160.0
37423,button,B000BRLXUI.raw.json,409,918,160.0
37425,counter,B000BRLXUI.raw.json,383,909,165.0
19824,counter,B00018RRRK.raw.json,311,909,165.0
37,counter,B00004S9CY.raw.json,11,909,165.0
1593,counter,B00004SPEU.raw.json,96,909,165.0
10438,counter,B00005OTXM.raw.json,108,909,165.0
1591,issue,B00004SPEU.raw.json,107,814,170.0
149,issue,B00004S9CY.raw.json,3,814,170.0
19829,issue,B00018RRRK.raw.json,250,814,170.0
37430,issue,B000BRLXUI.raw.json,334,814,170.0
10435,issue,B00005OTXM.raw.json,120,814,170.0
10436,way,B00005OTXM.raw.json,114,813,175.0
1589,way,B00004SPEU.raw.json,108,813,175.0
19833,way,B00018RRRK.raw.json,242,813,175.0
29,way,B00004S9CY.raw.json,13,813,175.0
37429,way,B000BRLXUI.raw.json,336,813,175.0
19836,work,B00018RRRK.raw.json,216,782,180.0
37434,work,B000BRLXUI.raw.json,285,782,180.0
1582,work,B00004SPEU.raw.json,126,782,180.0
10428,work,B00005OTXM.raw.json,141,782,180.0
28,work,B00004S9CY.raw.json,14,782,180.0
92,espresso,B00004S9CY.raw.json,5,773,185.0
19825,espresso,B00018RRRK.raw.json,305,773,185.0
10483,espresso,B00005OTXM.raw.json,58,773,185.0
37428,espresso,B000BRLXUI.raw.json,352,773,185.0
1638,espresso,B00004SPEU.raw.json,53,773,185.0
37431,amazon,B000BRLXUI.raw.json,303,754,190.0
1601,amazon,B00004SPEU.raw.json,89,754,190.0
19832,amazon,B00018RRRK.raw.json,247,754,190.0
10441,amazon,B00005OTXM.raw.json,105,754,190.0
42,amazon,B00004S9CY.raw.json,10,754,190.0
1594,item,B00004SPEU.raw.json,95,732,195.0
31,item,B00004S9CY.raw.json,13,732,195.0
37433,item,B000BRLXUI.raw.json,286,732,195.0
10439,item,B00005OTXM.raw.json,108,732,195.0
19834,item,B00018RRRK.raw.json,230,732,195.0
10454,mess,B00005OTXM.raw.json,84,729,200.0
19828,mess,B00018RRRK.raw.json,255,729,200.0
37432,mess,B000BRLXUI.raw.json,300,729,200.0
1606,mess,B00004SPEU.raw.json,80,729,200.0
47,mess,B00004S9CY.raw.json,10,729,200.0
10434,great product,B00005OTXM.raw.json,121,690,205.0
19843,great product,B00018RRRK.raw.json,197,690,205.0
26,great product,B00004S9CY.raw.json,14,690,205.0
1588,great product,B00004SPEU.raw.json,109,690,205.0
37442,great product,B000BRLXUI.raw.json,249,690,205.0
19839,gift,B00018RRRK.raw.json,213,672,210.0
10443,gift,B00005OTXM.raw.json,101,672,210.0
39,gift,B00004S9CY.raw.json,11,672,210.0
37439,gift,B000BRLXUI.raw.json,256,672,210.0
1598,gift,B00004SPEU.raw.json,91,672,210.0
37426,setting,B000BRLXUI.raw.json,369,660,215.0
1197,setting,B00004S9CY.raw.json,1,660,215.0
10512,setting,B00005OTXM.raw.json,40,660,215.0
19838,setting,B00018RRRK.raw.json,214,660,215.0
1670,setting,B00004SPEU.raw.json,36,660,215.0
37441,day,B000BRLXUI.raw.json,252,613,220.0
67,day,B00004S9CY.raw.json,7,613,220.0
19841,day,B00018RRRK.raw.json,210,613,220.0
10457,day,B00005OTXM.raw.json,76,613,220.0
1614,day,B00004SPEU.raw.json,68,613,220.0
10440,cord,B00005OTXM.raw.json,105,608,225.0
1592,cord,B00004SPEU.raw.json,96,608,225.0
18,cord,B00004S9CY.raw.json,22,608,225.0
37438,cord,B000BRLXUI.raw.json,265,608,225.0
19875,cord,B00018RRRK.raw.json,120,608,225.0
37443,replacement,B000BRLXUI.raw.json,246,604,230.0
43,replacement,B00004S9CY.raw.json,10,604,230.0
10465,replacement,B00005OTXM.raw.json,71,604,230.0
19837,replacement,B00018RRRK.raw.json,214,604,230.0
1621,replacement,B00004SPEU.raw.json,63,604,230.0
74,water,B00004S9CY.raw.json,6,602,235.0
10433,water,B00005OTXM.raw.json,123,602,235.0
37460,water,B000BRLXUI.raw.json,193,602,235.0
19855,water,B00018RRRK.raw.json,162,602,235.0
1585,water,B00004SPEU.raw.json,118,602,235.0
88,powder,B00004S9CY.raw.json,5,598,240.0
10442,powder,B00005OTXM.raw.json,103,598,240.0
1595,powder,B00004SPEU.raw.json,94,598,240.0
37454,powder,B000BRLXUI.raw.json,212,598,240.0
19847,powder,B00018RRRK.raw.json,184,598,240.0
140,fine grind,B00004S9CY.raw.json,3,593,245.0
19844,fine grind,B00018RRRK.raw.json,193,593,245.0
10455,fine grind,B00005OTXM.raw.json,82,593,245.0
37445,fine grind,B000BRLXUI.raw.json,237,593,245.0
1608,fine grind,B00004SPEU.raw.json,78,593,245.0
10448,complaint,B00005OTXM.raw.json,93,591,250.0
37448,complaint,B000BRLXUI.raw.json,226,591,250.0
79,complaint,B00004S9CY.raw.json,6,591,250.0
1602,complaint,B00004SPEU.raw.json,86,591,250.0
19849,complaint,B00018RRRK.raw.json,180,591,250.0
10748,hopper,B00005OTXM.raw.json,12,586,255.0
19827,hopper,B00018RRRK.raw.json,279,586,255.0
37435,hopper,B000BRLXUI.raw.json,282,586,255.0
616,hopper,B00004S9CY.raw.json,1,586,255.0
1880,hopper,B00004SPEU.raw.json,12,586,255.0
119,great grinder,B00004S9CY.raw.json,4,581,260.0
37446,great grinder,B000BRLXUI.raw.json,230,581,260.0
19850,great grinder,B00018RRRK.raw.json,178,581,260.0
10450,great grinder,B00005OTXM.raw.json,90,581,260.0
1607,great grinder,B00004SPEU.raw.json,79,581,260.0
10452,coffee maker,B00005OTXM.raw.json,88,572,265.0
89,coffee maker,B00004S9CY.raw.json,5,572,265.0
37447,coffee maker,B000BRLXUI.raw.json,226,572,265.0
19852,coffee maker,B00018RRRK.raw.json,173,572,265.0
1605,coffee maker,B00004SPEU.raw.json,80,572,265.0
19845,week,B00018RRRK.raw.json,189,571,270.0
1624,week,B00004SPEU.raw.json,62,571,270.0
37444,week,B000BRLXUI.raw.json,239,571,270.0
50,week,B00004S9CY.raw.json,9,571,270.0
10463,week,B00005OTXM.raw.json,72,571,270.0
1695,container,B00004SPEU.raw.json,28,557,275.0
37437,container,B000BRLXUI.raw.json,272,557,275.0
19835,container,B00018RRRK.raw.json,225,557,275.0
10545,container,B00005OTXM.raw.json,30,557,275.0
281,container,B00004S9CY.raw.json,2,557,275.0
19846,morning,B00018RRRK.raw.json,187,554,280.0
80,morning,B00004S9CY.raw.json,6,554,280.0
40,model,B00004S9CY.raw.json,11,554,280.0
1612,morning,B00004SPEU.raw.json,69,554,280.0
1616,model,B00004SPEU.raw.json,66,554,280.0
19848,model,B00018RRRK.raw.json,181,554,280.0
10462,model,B00005OTXM.raw.json,72,554,280.0
10461,morning,B00005OTXM.raw.json,73,554,280.0
37449,model,B000BRLXUI.raw.json,224,554,280.0
37451,morning,B000BRLXUI.raw.json,219,554,280.0
1618,noise,B00004SPEU.raw.json,64,549,290.0
54,noise,B00004S9CY.raw.json,8,549,290.0
37452,noise,B000BRLXUI.raw.json,215,549,290.0
19842,noise,B00018RRRK.raw.json,198,549,290.0
10473,noise,B00005OTXM.raw.json,64,549,290.0
37475,flax seed,B000BRLXUI.raw.json,151,546,295.0
48,flax seed,B00004S9CY.raw.json,9,546,295.0
1583,flax seed,B00004SPEU.raw.json,120,546,295.0
10430,flax seed,B00005OTXM.raw.json,131,546,295.0
19868,flax seed,B00018RRRK.raw.json,135,546,295.0
134,blade grinder,B00004S9CY.raw.json,3,544,300.0
1660,blade grinder,B00004SPEU.raw.json,38,544,300.0
10514,blade grinder,B00005OTXM.raw.json,39,544,300.0
37440,blade grinder,B000BRLXUI.raw.json,254,544,300.0
19840,blade grinder,B00018RRRK.raw.json,210,544,300.0
19853,brand,B00018RRRK.raw.json,170,539,305.0
27,brand,B00004S9CY.raw.json,14,539,305.0
10453,brand,B00005OTXM.raw.json,84,539,305.0
37457,brand,B000BRLXUI.raw.json,200,539,305.0
1611,brand,B00004SPEU.raw.json,71,539,305.0
37456,good grinder,B000BRLXUI.raw.json,203,537,310.0
85,good grinder,B00004S9CY.raw.json,5,537,310.0
10451,good grinder,B00005OTXM.raw.json,88,537,310.0
19856,good grinder,B00018RRRK.raw.json,159,537,310.0
1604,good grinder,B00004SPEU.raw.json,82,537,310.0
37462,great job,B000BRLXUI.raw.json,182,522,315.0
19860,great job,B00018RRRK.raw.json,149,522,315.0
1599,great job,B00004SPEU.raw.json,91,522,315.0
163,great job,B00004S9CY.raw.json,3,522,315.0
10446,great job,B00005OTXM.raw.json,97,522,315.0
19851,coffee ground,B00018RRRK.raw.json,174,518,320.0
37453,coffee ground,B000BRLXUI.raw.json,215,518,320.0
1629,coffee ground,B00004SPEU.raw.json,59,518,320.0
10469,coffee ground,B00005OTXM.raw.json,67,518,320.0
181,coffee ground,B00004S9CY.raw.json,3,518,320.0
19854,purchase,B00018RRRK.raw.json,163,494,325.0
10474,purchase,B00005OTXM.raw.json,64,494,325.0
1099,purchase,B00004S9CY.raw.json,1,494,325.0
37455,purchase,B000BRLXUI.raw.json,209,494,325.0
1631,purchase,B00004SPEU.raw.json,57,494,325.0
19858,husband,B00018RRRK.raw.json,150,489,330.0
37459,husband,B000BRLXUI.raw.json,196,489,330.0
1613,reason,B00004SPEU.raw.json,68,489,330.0
10460,reason,B00005OTXM.raw.json,73,489,330.0
37458,reason,B000BRLXUI.raw.json,196,489,330.0
19864,reason,B00018RRRK.raw.json,142,489,330.0
10464,husband,B00005OTXM.raw.json,72,489,330.0
1617,husband,B00004SPEU.raw.json,66,489,330.0
98,husband,B00004S9CY.raw.json,5,489,330.0
41,reason,B00004S9CY.raw.json,10,489,330.0
10495,plastic,B00005OTXM.raw.json,50,465,340.0
19867,plastic,B00018RRRK.raw.json,141,465,340.0
1650,plastic,B00004SPEU.raw.json,46,465,340.0
63,plastic,B00004S9CY.raw.json,7,465,340.0
37450,plastic,B000BRLXUI.raw.json,221,465,340.0
37463,quality,B000BRLXUI.raw.json,180,462,345.0
19861,quality,B00018RRRK.raw.json,149,462,345.0
1619,quality,B00004SPEU.raw.json,64,462,345.0
120,quality,B00004S9CY.raw.json,4,462,345.0
10471,quality,B00005OTXM.raw.json,65,462,345.0
10481,pot,B00005OTXM.raw.json,59,447,350.0
37465,pot,B000BRLXUI.raw.json,177,447,350.0
46,pot,B00004S9CY.raw.json,10,447,350.0
1632,pot,B00004SPEU.raw.json,56,447,350.0
19863,pot,B00018RRRK.raw.json,145,447,350.0
53,people,B00004S9CY.raw.json,8,441,355.0
1635,people,B00004SPEU.raw.json,53,441,355.0
10489,people,B00005OTXM.raw.json,54,441,355.0
19859,people,B00018RRRK.raw.json,149,441,355.0
37464,people,B000BRLXUI.raw.json,177,441,355.0
1646,grinding,B00004SPEU.raw.json,50,439,360.0
37461,grinding,B000BRLXUI.raw.json,184,439,360.0
19866,grinding,B00018RRRK.raw.json,142,439,360.0
102,grinding,B00004S9CY.raw.json,5,439,360.0
10484,grinding,B00005OTXM.raw.json,58,439,360.0
1609,fine powder,B00004SPEU.raw.json,75,431,365.0
37480,fine powder,B000BRLXUI.raw.json,144,431,365.0
10456,fine powder,B00005OTXM.raw.json,81,431,365.0
19871,fine powder,B00018RRRK.raw.json,128,431,365.0
144,fine powder,B00004S9CY.raw.json,3,431,365.0
10472,couple,B00005OTXM.raw.json,65,427,370.0
19874,couple,B00018RRRK.raw.json,126,427,370.0
1626,couple,B00004SPEU.raw.json,60,427,370.0
37466,couple,B000BRLXUI.raw.json,170,427,370.0
82,couple,B00004S9CY.raw.json,6,427,370.0
19872,kitchen,B00018RRRK.raw.json,127,425,375.0
69,kitchen,B00004S9CY.raw.json,7,425,375.0
37468,kitchen,B000BRLXUI.raw.json,165,425,375.0
10470,kitchen,B00005OTXM.raw.json,65,425,375.0
1625,kitchen,B00004SPEU.raw.json,61,425,375.0
1596,seed,B00004SPEU.raw.json,94,414,380.0
10444,seed,B00005OTXM.raw.json,101,414,380.0
19887,seed,B00018RRRK.raw.json,102,414,380.0
37503,seed,B000BRLXUI.raw.json,112,414,380.0
97,seed,B00004S9CY.raw.json,5,414,380.0
1600,herb,B00004SPEU.raw.json,90,412,385.0
72,herb,B00004S9CY.raw.json,6,412,385.0
37497,herb,B000BRLXUI.raw.json,118,412,385.0
10445,herb,B00005OTXM.raw.json,97,412,385.0
19889,herb,B00018RRRK.raw.json,101,412,385.0
19869,bit,B00018RRRK.raw.json,135,407,390.0
1622,friend,B00004SPEU.raw.json,63,407,390.0
58,friend,B00004S9CY.raw.json,8,407,390.0
19876,friend,B00018RRRK.raw.json,117,407,390.0
37476,friend,B000BRLXUI.raw.json,150,407,390.0
10467,friend,B00005OTXM.raw.json,69,407,390.0
1639,bit,B00004SPEU.raw.json,53,407,390.0
37472,bit,B000BRLXUI.raw.json,161,407,390.0
10487,bit,B00005OTXM.raw.json,56,407,390.0
365,bit,B00004S9CY.raw.json,2,407,390.0
1597,nut,B00004SPEU.raw.json,91,405,400.0
57,nut,B00004S9CY.raw.json,8,405,400.0
37502,nut,B000BRLXUI.raw.json,112,405,400.0
19890,nut,B00018RRRK.raw.json,99,405,400.0
10447,nut,B00005OTXM.raw.json,95,405,400.0
37471,size,B000BRLXUI.raw.json,161,402,405.0
159,size,B00004S9CY.raw.json,3,402,405.0
10480,size,B00005OTXM.raw.json,59,402,405.0
1645,size,B00004SPEU.raw.json,50,402,405.0
19870,size,B00018RRRK.raw.json,129,402,405.0
1652,dust,B00004SPEU.raw.json,45,395,410.0
695,dust,B00004S9CY.raw.json,1,395,410.0
19865,dust,B00018RRRK.raw.json,142,395,410.0
37469,dust,B000BRLXUI.raw.json,162,395,410.0
10502,dust,B00005OTXM.raw.json,45,395,410.0
19879,piece,B00018RRRK.raw.json,112,394,415.0
1640,piece,B00004SPEU.raw.json,51,394,415.0
35,piece,B00004S9CY.raw.json,11,394,415.0
10490,piece,B00005OTXM.raw.json,54,394,415.0
37467,piece,B000BRLXUI.raw.json,166,394,415.0
37483,design,B000BRLXUI.raw.json,137,384,420.0
101,design,B00004S9CY.raw.json,5,384,420.0
19883,design,B00018RRRK.raw.json,106,384,420.0
10468,design,B00005OTXM.raw.json,69,384,420.0
1615,design,B00004SPEU.raw.json,67,384,420.0
44,good product,B00004S9CY.raw.json,10,379,425.0
10466,good product,B00005OTXM.raw.json,70,379,425.0
19881,good product,B00018RRRK.raw.json,107,379,425.0
37490,good product,B000BRLXUI.raw.json,130,379,425.0
1623,good product,B00004SPEU.raw.json,62,379,425.0
1628,great price,B00004SPEU.raw.json,59,378,430.0
19885,great price,B00018RRRK.raw.json,104,378,430.0
76,great price,B00004S9CY.raw.json,6,378,430.0
37485,great price,B000BRLXUI.raw.json,135,378,430.0
10458,great price,B00005OTXM.raw.json,74,378,430.0
10485,wife,B00005OTXM.raw.json,56,377,435.0
37479,wife,B000BRLXUI.raw.json,146,377,435.0
1637,wife,B00004SPEU.raw.json,53,377,435.0
19877,wife,B00018RRRK.raw.json,115,377,435.0
64,wife,B00004S9CY.raw.json,7,377,435.0
1685,warranty,B00004SPEU.raw.json,31,376,440.0
10540,warranty,B00005OTXM.raw.json,31,376,440.0
19857,warranty,B00018RRRK.raw.json,152,376,440.0
37473,warranty,B000BRLXUI.raw.json,159,376,440.0
199,warranty,B00004S9CY.raw.json,3,376,440.0
1648,home,B00004SPEU.raw.json,49,365,445.0
37481,home,B000BRLXUI.raw.json,142,365,445.0
118,home,B00004S9CY.raw.json,4,365,445.0
10486,home,B00005OTXM.raw.json,56,365,445.0
19878,home,B00018RRRK.raw.json,114,365,445.0
1634,star,B00004SPEU.raw.json,54,364,450.0
19882,star,B00018RRRK.raw.json,107,364,450.0
71,star,B00004S9CY.raw.json,7,364,450.0
10482,star,B00005OTXM.raw.json,59,364,450.0
37482,star,B000BRLXUI.raw.json,137,364,450.0
37489,cleaning,B000BRLXUI.raw.json,133,358,455.0
347,cleaning,B00004S9CY.raw.json,2,358,455.0
10478,cleaning,B00005OTXM.raw.json,60,358,455.0
1630,cleaning,B00004SPEU.raw.json,57,358,455.0
19884,cleaning,B00018RRRK.raw.json,106,358,455.0
37474,place,B000BRLXUI.raw.json,156,354,460.0
93,place,B00004S9CY.raw.json,5,354,460.0
1681,place,B00004SPEU.raw.json,31,354,460.0
19873,place,B00018RRRK.raw.json,126,354,460.0
10521,place,B00005OTXM.raw.json,36,354,460.0
10509,fact,B00005OTXM.raw.json,41,352,465.0
1663,fact,B00004SPEU.raw.json,37,352,465.0
19880,fact,B00018RRRK.raw.json,108,352,465.0
91,fact,B00004S9CY.raw.json,5,352,465.0
37470,fact,B000BRLXUI.raw.json,161,352,465.0
19892,filter,B00018RRRK.raw.json,97,328,470.0
125,filter,B00004S9CY.raw.json,4,328,470.0
51,need,B00004S9CY.raw.json,8,328,470.0
1644,need,B00004SPEU.raw.json,50,328,470.0
37488,filter,B000BRLXUI.raw.json,133,328,470.0
1651,filter,B00004SPEU.raw.json,46,328,470.0
19891,need,B00018RRRK.raw.json,98,328,470.0
10488,need,B00005OTXM.raw.json,55,328,470.0
10498,filter,B00005OTXM.raw.json,48,328,470.0
37498,need,B000BRLXUI.raw.json,117,328,470.0
66,exactly,B00004S9CY.raw.json,7,327,480.0
19897,exactly,B00018RRRK.raw.json,92,327,480.0
1633,exactly,B00004SPEU.raw.json,54,327,480.0
37499,exactly,B000BRLXUI.raw.json,114,327,480.0
10476,exactly,B00005OTXM.raw.json,60,327,480.0
1610,spice grinder,B00004SPEU.raw.json,71,324,485.0
10459,spice grinder,B00005OTXM.raw.json,74,324,485.0
37525,spice grinder,B000BRLXUI.raw.json,93,324,485.0
19909,spice grinder,B00018RRRK.raw.json,81,324,485.0
95,spice grinder,B00004S9CY.raw.json,5,324,485.0
1649,device,B00004SPEU.raw.json,47,322,490.0
10497,device,B00005OTXM.raw.json,49,322,490.0
19895,device,B00018RRRK.raw.json,94,322,490.0
141,device,B00004S9CY.raw.json,3,322,490.0
37492,device,B000BRLXUI.raw.json,129,322,490.0
37486,good job,B000BRLXUI.raw.json,134,317,495.0
19893,good job,B00018RRRK.raw.json,95,317,495.0
10500,good job,B00005OTXM.raw.json,46,317,495.0
1662,good job,B00004SPEU.raw.json,38,317,495.0
127,good job,B00004S9CY.raw.json,4,317,495.0
19908,hand,B00018RRRK.raw.json,81,307,500.0
1666,difference,B00004SPEU.raw.json,36,307,500.0
37500,hand,B000BRLXUI.raw.json,113,307,500.0
10492,hand,B00005OTXM.raw.json,53,307,500.0
37495,difference,B000BRLXUI.raw.json,127,307,500.0
129,difference,B00004S9CY.raw.json,3,307,500.0
