,noun_chunk,product,freq,overall_freq,Rank
34226,issue,B00ZPN3O2I.raw.json,260,1210,22.0
34227,handle,B00ZPN3O2I.raw.json,249,1206,23.0
11159,handle,B00CT9XO4E.raw.json,219,1206,23.0
21,handle,B003KYSLNQ.raw.json,218,1206,23.0
47092,handle,B012WF88QS.raw.json,300,1206,23.0
22694,handle,B00N2278VC.raw.json,220,1206,23.0
22,temp,B003KYSLNQ.raw.json,215,1086,24.0
47102,temp,B012WF88QS.raw.json,222,1086,24.0
11160,temp,B00CT9XO4E.raw.json,215,1086,24.0
22695,temp,B00N2278VC.raw.json,215,1086,24.0
34230,temp,B00ZPN3O2I.raw.json,219,1086,24.0
23,replacement,B003KYSLNQ.raw.json,208,1071,25.0
22696,replacement,B00N2278VC.raw.json,210,1071,25.0
34229,replacement,B00ZPN3O2I.raw.json,220,1071,25.0
11161,replacement,B00CT9XO4E.raw.json,209,1071,25.0
47100,replacement,B012WF88QS.raw.json,224,1071,25.0
34232,amazon,B00ZPN3O2I.raw.json,211,997,26.0
24,amazon,B003KYSLNQ.raw.json,189,997,26.0
47103,amazon,B012WF88QS.raw.json,219,997,26.0
22697,amazon,B00N2278VC.raw.json,189,997,26.0
11162,amazon,B00CT9XO4E.raw.json,189,997,26.0
11163,cup,B00CT9XO4E.raw.json,176,972,27.0
22698,cup,B00N2278VC.raw.json,176,972,27.0
34231,cup,B00ZPN3O2I.raw.json,214,972,27.0
47098,cup,B012WF88QS.raw.json,230,972,27.0
25,cup,B003KYSLNQ.raw.json,176,972,27.0
30,counter,B003KYSLNQ.raw.json,158,910,28.0
34235,counter,B00ZPN3O2I.raw.json,195,910,28.0
22704,counter,B00N2278VC.raw.json,158,910,28.0
11169,counter,B00CT9XO4E.raw.json,158,910,28.0
47096,counter,B012WF88QS.raw.json,241,910,28.0
34236,day,B00ZPN3O2I.raw.json,193,887,29.0
22701,day,B00N2278VC.raw.json,164,887,29.0
27,day,B003KYSLNQ.raw.json,162,887,29.0
47101,price,B012WF88QS.raw.json,224,887,29.0
11165,day,B00CT9XO4E.raw.json,163,887,29.0
34,price,B003KYSLNQ.raw.json,144,887,29.0
22705,price,B00N2278VC.raw.json,158,887,29.0
47105,day,B012WF88QS.raw.json,205,887,29.0
34233,price,B00ZPN3O2I.raw.json,210,887,29.0
11170,price,B00CT9XO4E.raw.json,151,887,29.0
22702,way,B00N2278VC.raw.json,162,866,30.0
47104,way,B012WF88QS.raw.json,206,866,30.0
34237,way,B00ZPN3O2I.raw.json,183,866,30.0
31,way,B003KYSLNQ.raw.json,156,866,30.0
11168,way,B00CT9XO4E.raw.json,159,866,30.0
28,feature,B003KYSLNQ.raw.json,159,845,31.0
11166,feature,B00CT9XO4E.raw.json,162,845,31.0
47108,feature,B012WF88QS.raw.json,185,845,31.0
22700,feature,B00N2278VC.raw.json,165,845,31.0
34239,feature,B00ZPN3O2I.raw.json,174,845,31.0
34243,green tea,B00ZPN3O2I.raw.json,169,839,32.0
26,green tea,B003KYSLNQ.raw.json,167,839,32.0
11164,green tea,B00CT9XO4E.raw.json,167,839,32.0
47114,green tea,B012WF88QS.raw.json,169,839,32.0
22699,green tea,B00N2278VC.raw.json,167,839,32.0
11177,heat,B00CT9XO4E.raw.json,133,835,33.0
22712,heat,B00N2278VC.raw.json,133,835,33.0
39,heat,B003KYSLNQ.raw.json,133,835,33.0
34234,heat,B00ZPN3O2I.raw.json,206,835,33.0
47099,heat,B012WF88QS.raw.json,230,835,33.0
22691,drone,B00N2278VC.raw.json,238,833,34.0
34245,plastic,B00ZPN3O2I.raw.json,166,833,34.0
47097,drone,B012WF88QS.raw.json,238,833,34.0
47095,plastic,B012WF88QS.raw.json,250,833,34.0
22710,plastic,B00N2278VC.raw.json,139,833,34.0
11175,plastic,B00CT9XO4E.raw.json,139,833,34.0
34228,drone,B00ZPN3O2I.raw.json,238,833,34.0
37,plastic,B003KYSLNQ.raw.json,139,833,34.0
11183,drone,B00CT9XO4E.raw.json,119,833,34.0
11171,gift,B00CT9XO4E.raw.json,149,805,35.0
22706,gift,B00N2278VC.raw.json,152,805,35.0
32,gift,B003KYSLNQ.raw.json,146,805,35.0
34241,gift,B00ZPN3O2I.raw.json,171,805,35.0
47107,gift,B012WF88QS.raw.json,187,805,35.0
47116,setting,B012WF88QS.raw.json,161,802,36.0
29,setting,B003KYSLNQ.raw.json,159,802,36.0
11167,setting,B00CT9XO4E.raw.json,160,802,36.0
34247,setting,B00ZPN3O2I.raw.json,161,802,36.0
22703,setting,B00N2278VC.raw.json,161,802,36.0
22707,item,B00N2278VC.raw.json,149,785,37.0
47112,item,B012WF88QS.raw.json,175,785,37.0
34244,item,B00ZPN3O2I.raw.json,169,785,37.0
33,item,B003KYSLNQ.raw.json,145,785,37.0
11172,item,B00CT9XO4E.raw.json,147,785,37.0
22708,money,B00N2278VC.raw.json,143,770,38.0
34240,money,B00ZPN3O2I.raw.json,171,770,38.0
11173,money,B00CT9XO4E.raw.json,141,770,38.0
47111,money,B012WF88QS.raw.json,176,770,38.0
36,money,B003KYSLNQ.raw.json,139,770,38.0
22716,hot water,B00N2278VC.raw.json,128,763,39.0
34238,hot water,B00ZPN3O2I.raw.json,177,763,39.0
11180,hot water,B00CT9XO4E.raw.json,128,763,39.0
42,hot water,B003KYSLNQ.raw.json,128,763,39.0
47106,hot water,B012WF88QS.raw.json,202,763,39.0
22711,stove,B00N2278VC.raw.json,135,758,40.0
47109,stove,B012WF88QS.raw.json,183,758,40.0
11176,stove,B00CT9XO4E.raw.json,135,758,40.0
34242,stove,B00ZPN3O2I.raw.json,170,758,40.0
38,stove,B003KYSLNQ.raw.json,135,758,40.0
47110,kitchen,B012WF88QS.raw.json,182,727,41.0
34249,kitchen,B00ZPN3O2I.raw.json,152,727,41.0
11178,kitchen,B00CT9XO4E.raw.json,131,727,41.0
40,kitchen,B003KYSLNQ.raw.json,131,727,41.0
22713,kitchen,B00N2278VC.raw.json,131,727,41.0
34250,warranty,B00ZPN3O2I.raw.json,148,718,42.0
22709,warranty,B00N2278VC.raw.json,140,718,42.0
35,warranty,B003KYSLNQ.raw.json,140,718,42.0
47118,warranty,B012WF88QS.raw.json,150,718,42.0
11174,warranty,B00CT9XO4E.raw.json,140,718,42.0
49,minute,B003KYSLNQ.raw.json,110,671,43.0
11186,minute,B00CT9XO4E.raw.json,113,671,43.0
22719,minute,B00N2278VC.raw.json,116,671,43.0
47113,minute,B012WF88QS.raw.json,170,671,43.0
34246,minute,B00ZPN3O2I.raw.json,162,671,43.0
22717,boil,B00N2278VC.raw.json,119,660,44.0
34251,boil,B00ZPN3O2I.raw.json,146,660,44.0
44,boil,B003KYSLNQ.raw.json,119,660,44.0
11182,boil,B00CT9XO4E.raw.json,119,660,44.0
47117,boil,B012WF88QS.raw.json,157,660,44.0
22715,wife,B00N2278VC.raw.json,128,658,45.0
34255,wife,B00ZPN3O2I.raw.json,133,658,45.0
47121,wife,B012WF88QS.raw.json,144,658,45.0
11181,wife,B00CT9XO4E.raw.json,127,658,45.0
43,wife,B003KYSLNQ.raw.json,126,658,45.0
41,type,B003KYSLNQ.raw.json,129,653,46.0
